132 , '130102010202010102020101020201010202010201010201020201010202010102020101020102020102010102010202010201010201020102020101020102020104' , 5 , 150 300 1230 2430 6990 , rflink:1
132 , '130102010202010201010202010102010201020102020101020102020101020102010201020102020101020102020101020201010201020201010201020201010204' , 5 , 120 240 1260 2610 6990 , rflink:3
132 , '130102010202010201010202010102010201020102020101020102020101020102010201020102020101020102020101020201010201020102010201020201010204' , 5 , 120 240 1260 2610 6990 , rflink:6
132 , '130102010202010201010202010102010201020102020101020102020101020102010201020102020101020102020101020201010201020102010201020201010204' , 5 , 120 240 1260 2610 6990 , rflink:9
132 , '130102010202010201010202010102010201020102020101020102020101020102010201020102020101020102020101020201010201020102010201020201010204' , 5 , 120 240 1260 2610 6990 , rflink:10
132 , '130102010202010201010202010102010201020102020101020102020101020102010201020102020101020102020101020201010201020102010201020201010204' , 5 , 120 240 1260 2610 6990 , rflink:13
132 , '130102010202010201010202010102010201020102020101020102020101020102010201020102020101020102020101020201010201020201010201020201010204' , 5 , 120 240 1260 2610 6990 , rflink:14
132 , '130102010202010201010202010102010201020102020101020102020101020102010201020102020101020102020101020201010201020201010201020201010204' , 5 , 120 240 1260 2610 6990 , rflink:17
132 , '130102010202010201010202010102010201020102020101020102020101020102010201020102020101020102020101020201010201020201010201020201010204' , 5 , 120 240 1260 2610 6990 , rflink:18
132 , '041213131213121312131213121312121313121213121312131312121312131213131212131312121313121213131213121312121313121213121312131213121315' , 6 , 30 120 210 1230 2700 6990 , rflink:21
132 , '030102020102010201020102010201010202010102010201020201010201020102020101020201010202010102020102010201010202010102010201020102010204' , 5 , 120 210 1230 2700 6990 , rflink:24
232 , '1111111111111111111111111111111110010010010010010010011100100100111110011111111111111111111100100100100100111110011111111111111111111111111111111100111110011111110011100111001001110010011111111111111100111110011111111100100100111112' , 3 , 480 960 6990 , rflink:26
50 , '32112121212211221212121212121122112121212211212210' , 4 , 0 160 464 4472 , rflink:28
49 , '3200202020220022020202020202002200202020202020210' , 4 , 184 320 484 4448 , rflink:29
50 , '12020220020202020202022002020202020202200220020203' , 4 , 240 300 840 6990 , rflink:30
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 1020 6990 , rflink:32
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:35
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:36
50 , '01010110010101010101011001010101010101100110010102' , 3 , 300 990 6990 , rflink:37
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:40
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:41
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:42
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:43
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:46
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:47
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:48
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:49
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:50
50 , '12020220020202020220020202020202020202200220020203' , 4 , 300 360 990 6990 , rflink:51
50 , '01010110010101010110010101010101010101100110010102' , 3 , 330 990 6990 , rflink:54
